pattern,example_count,min_len,sequences
21021001,4,2,"(1,2,5) (3,4,8)"
21021010,4,2,"(1,2,5) (3,4,7)"
21021100,4,2,"(1,2,5) (3,4,6)"
21120111,2,3,"(1,2,6) (3,4,7) (4,7,8)"
21121011,2,3,"(1,2,5) (3,4,7) (4,7,8)"
21121101,2,3,"(1,2,5) (3,4,6) (4,7,8)"
21121110,2,3,"(1,2,5) (3,4,6) (4,8,7)"
21200011,4,2,"(1,2,7) (3,8,4)"
21200101,4,2,"(1,2,6) (3,8,4)"
21200110,4,2,"(1,2,6) (3,7,4)"
21201001,4,2,"(1,2,5) (3,8,4)"
21201010,4,2,"(1,2,5) (3,7,4)"
21201100,4,2,"(1,2,5) (3,6,4)"
21210111,2,3,"(1,2,6) (3,4,7) (4,7,8)"
21211011,2,3,"(1,2,5) (3,4,7) (4,7,8)"
21211101,2,3,"(1,2,5) (3,4,6) (4,7,8)"
21211110,2,3,"(1,2,5) (3,4,6) (4,8,7)"
21220011,3,2,"(1,2,7) (3,4,8)"
21220101,3,2,"(1,2,6) (3,4,8)"
21220110,3,2,"(1,2,6) (3,4,7)"
21221001,3,2,"(1,2,5) (3,4,8)"
21221010,3,2,"(1,2,5) (3,4,7)"
21221100,3,2,"(1,2,5) (3,4,6)"
22000001,7,1,"(1,2,8)"
22000010,7,1,"(1,2,7)"
22000100,7,1,"(1,2,6)"
22001000,7,1,"(1,2,5)"
22010011,4,2,"(1,2,7) (3,4,8)"
22010101,4,2,"(1,2,6) (3,4,8)"
22010110,4,2,"(1,2,6) (3,4,7)"
22011001,4,2,"(1,2,5) (3,4,8)"
22011010,4,2,"(1,2,5) (3,4,7)"
22011100,4,2,"(1,2,5) (3,4,6)"
22020001,4,1,"(1,2,8)"
22020010,4,1,"(1,2,7)"
22020100,4,1,"(1,2,6)"
22021000,4,1,"(1,2,5)"
22100011,4,2,"(1,2,7) (3,8,4)"
22100101,4,2,"(1,2,6) (3,8,4)"
22100110,4,2,"(1,2,6) (3,7,4)"
22101001,4,2,"(1,2,5) (3,8,4)"
22101010,4,2,"(1,2,5) (3,7,4)"
22101100,4,2,"(1,2,5) (3,6,4)"
22110111,2,3,"(1,2,6) (3,4,7) (4,7,8)"
22111011,2,3,"(1,2,5) (3,4,7) (4,7,8)"
22111101,2,3,"(1,2,5) (3,4,6) (4,7,8)"
22111110,2,3,"(1,2,5) (3,4,6) (4,8,7)"
22120011,3,2,"(1,2,7) (3,8,4)"
22120101,3,2,"(1,2,6) (3,8,4)"
22120110,3,2,"(1,2,6) (3,7,4)"
22121001,3,2,"(1,2,5) (3,8,4)"
22121010,3,2,"(1,2,5) (3,7,4)"
22121100,3,2,"(1,2,5) (3,6,4)"
22200001,4,1,"(1,2,8)"
22200010,4,1,"(1,2,7)"
22200100,4,1,"(1,2,6)"
22201000,4,1,"(1,2,5)"
22210011,3,2,"(1,2,7) (3,4,8)"
22210101,3,2,"(1,2,6) (3,4,8)"
22210110,3,2,"(1,2,6) (3,4,7)"
22211001,3,2,"(1,2,5) (3,4,8)"
22211010,3,2,"(1,2,5) (3,4,7)"
22211100,3,2,"(1,2,5) (3,4,6)"
22220001,1,1,"(1,2,8)"
22220010,1,1,"(1,2,7)"
22220100,1,1,"(1,2,6)"
22221000,1,1,"(1,2,5)"
30330011,3,2,"(1,7,2) (3,4,8)"
30330101,3,2,"(1,6,2) (3,4,8)"
30330110,3,2,"(1,6,2) (3,4,7)"
30331001,3,2,"(1,5,2) (3,4,8)"
30331010,3,2,"(1,5,2) (3,4,7)"
30331100,3,2,"(1,5,2) (3,4,6)"
31330111,2,3,"(1,2,6) (3,4,7) (4,7,8)"
31331011,2,3,"(1,2,5) (3,4,7) (4,7,8)"
31331101,2,3,"(1,2,5) (3,4,6) (4,7,8)"
31331110,2,3,"(1,2,5) (3,4,6) (4,8,7)"
33030011,3,2,"(1,2,7) (3,4,8)"
33030101,3,2,"(1,2,6) (3,4,8)"
33030110,3,2,"(1,2,6) (3,4,7)"
33031001,3,2,"(1,2,5) (3,4,8)"
33031010,3,2,"(1,2,5) (3,4,7)"
33031100,3,2,"(1,2,5) (3,4,6)"
33130111,2,3,"(1,2,6) (3,4,7) (4,7,8)"
33131011,2,3,"(1,2,5) (3,4,7) (4,7,8)"
33131101,2,3,"(1,2,5) (3,4,6) (4,7,8)"
33131110,2,3,"(1,2,5) (3,4,6) (4,8,7)"
33300011,3,2,"(1,2,7) (3,8,4)"
33300101,3,2,"(1,2,6) (3,8,4)"
33300110,3,2,"(1,2,6) (3,7,4)"
33301001,3,2,"(1,2,5) (3,8,4)"
33301010,3,2,"(1,2,5) (3,7,4)"
33301100,3,2,"(1,2,5) (3,6,4)"
33310111,2,3,"(1,2,6) (3,4,7) (4,7,8)"
33311011,2,3,"(1,2,5) (3,4,7) (4,7,8)"
33311101,2,3,"(1,2,5) (3,4,6) (4,7,8)"
33311110,2,3,"(1,2,5) (3,4,6) (4,8,7)"
33330011,1,2,"(1,2,7) (3,4,8)"
33330101,1,2,"(1,2,6) (3,4,8)"
33330110,1,2,"(1,2,6) (3,4,7)"
33331001,1,2,"(1,2,5) (3,4,8)"
33331010,1,2,"(1,2,5) (3,4,7)"
33331100,1,2,"(1,2,5) (3,4,6)"
44440111,1,3,"(1,2,6) (3,4,7) (4,7,8)"
44441011,1,3,"(1,2,5) (3,4,7) (4,7,8)"
44441101,1,3,"(1,2,5) (3,4,6) (4,7,8)"
44441110,1,3,"(1,2,5) (3,4,6) (4,8,7)"
55555555,31,4,"(1,2,5) (3,4,6) (2,6,7) (4,5,8)"

